,eta,max_depth,gamma,nrounds,train_auc,validation_auc
1,0.1,8,0,10,,
2,0.4,8,0,10,,
3,0.7,8,0,10,,
4,1,8,0,10,,
5,0.1,16,0,10,,
6,0.4,16,0,10,,
7,0.7,16,0,10,,
8,1,16,0,10,,
9,0.1,32,0,10,,
10,0.4,32,0,10,,
11,0.7,32,0,10,,
12,1,32,0,10,,
13,0.1,8,1,10,,
14,0.4,8,1,10,,
15,0.7,8,1,10,,
16,1,8,1,10,,
17,0.1,16,1,10,,
18,0.4,16,1,10,,
19,0.7,16,1,10,,
20,1,16,1,10,,
21,0.1,32,1,10,,
22,0.4,32,1,10,,
23,0.7,32,1,10,,
24,1,32,1,10,,
25,0.1,8,5,10,,
26,0.4,8,5,10,,
27,0.7,8,5,10,,
28,1,8,5,10,,
29,0.1,16,5,10,,
30,0.4,16,5,10,,
31,0.7,16,5,10,,
32,1,16,5,10,,
33,0.1,32,5,10,,
34,0.4,32,5,10,,
35,0.7,32,5,10,,
36,1,32,5,10,,
37,0.1,8,10,10,,
38,0.4,8,10,10,,
39,0.7,8,10,10,,
40,1,8,10,10,,
41,0.1,16,10,10,,
42,0.4,16,10,10,,
43,0.7,16,10,10,,
44,1,16,10,10,,
45,0.1,32,10,10,,
46,0.4,32,10,10,,
47,0.7,32,10,10,,
48,1,32,10,10,,
49,0.1,8,0,20,,
50,0.4,8,0,20,,
51,0.7,8,0,20,,
52,1,8,0,20,,
53,0.1,16,0,20,,
54,0.4,16,0,20,,
55,0.7,16,0,20,,
56,1,16,0,20,,
57,0.1,32,0,20,,
58,0.4,32,0,20,,
59,0.7,32,0,20,,
60,1,32,0,20,,
61,0.1,8,1,20,,
62,0.4,8,1,20,,
63,0.7,8,1,20,,
64,1,8,1,20,,
65,0.1,16,1,20,,
66,0.4,16,1,20,,
67,0.7,16,1,20,,
68,1,16,1,20,,
69,0.1,32,1,20,,
70,0.4,32,1,20,,
71,0.7,32,1,20,,
72,1,32,1,20,,
73,0.1,8,5,20,,
74,0.4,8,5,20,,
75,0.7,8,5,20,,
76,1,8,5,20,,
77,0.1,16,5,20,,
78,0.4,16,5,20,,
79,0.7,16,5,20,,
80,1,16,5,20,,
81,0.1,32,5,20,,
82,0.4,32,5,20,,
83,0.7,32,5,20,,
84,1,32,5,20,,
85,0.1,8,10,20,,
86,0.4,8,10,20,,
87,0.7,8,10,20,,
88,1,8,10,20,,
89,0.1,16,10,20,,
90,0.4,16,10,20,,
91,0.7,16,10,20,,
92,1,16,10,20,,
93,0.1,32,10,20,,
94,0.4,32,10,20,,
95,0.7,32,10,20,,
96,1,32,10,20,,
